codigo,apartamento,qtd_quartos,qtd_banheiros,qtd_garagem,metragem,bairro,valor_venda
103856.0,Apartamento de 42m² 01 quarto para locação   Residencial Florida,1.0,1.0,1.0,42.0,Residencial Florida,191000.0
237026.0,Apartamento de 44m² com 02 quartos à venda   Reserva São José,2.0,1.0,1.0,44.0,Reserva Sao Jose,205000.0
238889.0,Apartamento de 47m² com 02 quartos à venda   Alto do Ipiranga,2.0,1.0,1.0,47.0,Alto do Ipiranga,210000.0
94460.0,Apartamento de 45m² com 01 quarto para locação   Santa Cruz,1.0,1.0,1.0,45.0,Santa Cruz do Jose Jacques,310000.0
202253.0,APARTAMENTO JARDIM AMERICA,3.0,2.0,1.0,99.0,Jardim America,400000.0
149717.0,APARTAMENTO PRÓXIMO À AVENIDA INDEPENDÊNCIA,1.0,1.0,1.0,52.0,Vila Seixas,160000.0
51137.0,Apartamento de 01 quarto para locação   Lagoinha,1.0,1.0,1.0,45.0,Parque Industrial Lagoinha,190000.0
136586.0,Apartamento de 43m² com 02 quartos à venda   Parque dos Lagos,2.0,1.0,1.0,43.0,Parque dos Lagos,220000.0
129629.0,Apartamento de 54 m² e 1 quarto   Centro,1.0,1.0,1.0,54.0,Centro,220000.0
167579.0,APARTAMENTO NO NOVA ALIANÇA,1.0,1.0,1.0,44.0,Nova Alianca,200000.0
99809.0,APARTAMENTO NA LAGOINHA,3.0,2.0,1.0,67.0,Parque Industrial Lagoinha,350000.0
224834.0,Apartamento de 37m² com 01 quarto à venda   Nova Aliança,1.0,1.0,1.0,37.0,Nova Alianca,230000.0
195494.0,Apartamento de 57m² com 02 quartos   Vila Tibério,2.0,1.0,1.0,57.0,Ipiranga,305000.0
123233.0,Apartamento de 66m² com 02 quartos à venda   Alto do Ipiranga,2.0,2.0,1.0,66.0,Alto do Ipiranga,250000.0
195773.0,Apartamento de 47m² com 02 quartos para locação  City Ribeirão,2.0,1.0,1.0,47.0,City Ribeirao,250000.0
142523.0,Apartamento de 81m² com 2 suítes   Vila Ana Maria,2.0,3.0,2.0,81.0,Vila Ana Maria,684000.0
202202.0,APARTAMENTO NA VILA TIBERIO,2.0,2.0,2.0,80.0,Vila Tiberio,390000.0
182831.0,APARTAMENTO NO BAIRRO IPIRANGA,2.0,1.0,1.0,46.0,Ipiranga,170000.0
207344.0,Apartamento de 196m² com 03 quartos   Santa Cruz José Jacques,3.0,5.0,3.0,196.0,City Ribeirao,850000.0
237935.0,Apartamento de 42m² com 02 quartos à venda   Vitta Via Norte I,2.0,1.0,1.0,42.0,Quintino Facci II,160000.0
216842.0,Apartamento de 40m² com 02 quartos à venda   Reserva Real,2.0,1.0,1.0,40.0,Reserva Real,135000.0
171017.0,APARTAMENTO NO RESIDENCIAL DAS AMÉRICAS 43m² com 02 quartos   Jardim Herculano Fernandes,2.0,1.0,1.0,43.0,Residencial das Americas,120000.0
150980.0,Apartamento de 67m² com 03 quartos à venda   Alto da Boa Vista,3.0,2.0,1.0,67.0,Alto da Boa Vista,400000.0
107810.0,Apartamento de 155m² com 03 suítes à venda   Bosque das Juritis,3.0,5.0,3.0,155.0,Bosque das Juritis,1139000.0
237302.0,Apartamento de 102m² com 03 quartos para locação e venda   Vila Ana Maria,3.0,3.0,2.0,102.0,Vila Ana Maria,500000.0
222962.0,Apartamento de 47m² com 02 quartos à venda   Residencial Jequitibá,2.0,1.0,1.0,47.0,Residencial Jequitiba,260000.0
58652.0,Apartamento de 46m² com 02 quartos à venda   Lagoinha,2.0,1.0,1.0,46.0,Parque Industrial Lagoinha,230000.0
130037.0,Apartamento com 47m² de 2 quartos para venda   Jardim Manoel Penna,2.0,1.0,1.0,47.0,Jardim Manoel Penna,180000.0
242141.0,Apartamento de 43m² com 02 quartos à venda   Valentina Figueiredo,2.0,1.0,1.0,43.0,Valentina Figueiredo,130000.0
177791.0,Apartamento de 48m² com 02 quartos à venda   Vila Maria Luiza,2.0,1.0,1.0,48.0,Vila Maria Luiza,295000.0
189569.0,Apartamento de 2 quartos   Recreio das Acácias,2.0,1.0,1.0,46.0,Recreio das Acacias,350000.0
241955.0,Apartamento de 56m² com 02 quartos sendo 01 suíte para locação e venda   Chácaras Pedro Corrêa de Carvalho,2.0,2.0,1.0,56.0,Chacaras Pedro Correa de Carvalho,230000.0
191876.0,Apartamento de 53m² com 02 quartos à venda   Jardim Zara,2.0,1.0,1.0,53.0,Jardim Zara,270000.0
213383.0,Apartamento de 51m² com 02 quartos à venda   Bonfim Paulista,2.0,2.0,1.0,51.0,Quintas de Sao Jose,325000.0
234293.0,Apartamento de 42m² com 01 quarto à venda   Nova Aliança,1.0,1.0,1.0,42.0,Nova Alianca,199000.0
203012.0,APARTAMENTO NO BAIRRO JARDIM ANHANGUERA,1.0,1.0,1.0,69.0,Jardim Anhanguera,240000.0
155336.0,Apartamento de 69m² com 01 quarto à venda   Centro,1.0,1.0,1.0,69.0,Centro,276000.0
235928.0,Apartamento de 76m² com 02 quartos para venda   Vila Ana Maria,2.0,2.0,1.0,76.0,Vila Ana Maria,463500.0
161834.0,Apartamento de 01 quarto para locação e venda   Jd. Palma Travassos,1.0,1.0,1.0,38.0,Jardim Palma Travassos,329000.0
228617.0,Apartamento de 42m² com 02 quartos à venda   Jardim Florestan Fernandes,2.0,1.0,1.0,42.0,Jardim Florestan Fernandes,220000.0
233183.0,Apartamento de 56m² mobiliado com 01 suíte para locação e venda   Jardim Botânico,1.0,2.0,1.0,56.0,Jardim Botanico,901000.0
147785.0,Apartamento de 90m² semi mobiliado com 02 suítes para locação   Bosque das Juritis,2.0,3.0,2.0,90.0,Bosque das Juritis,850000.0
239315.0,Apartamento de 02 quartos à venda   Vila Virgínia,2.0,1.0,1.0,55.0,Vila Virginia,181000.0
94790.0,Excelente apartamento Próximo ao Ribeirão Shopping,2.0,2.0,2.0,62.0,Vila Ana Maria,350000.0
153680.0,APARTAMENTO NA AVENIDA MIGUEL PADULLA,2.0,1.0,1.0,48.0,Jardim Sao Fernando,200000.0
198314.0,LINDO APARTAMENTO COM QUINTAL PRÓXIMO AO NOVO SHOOPING,2.0,1.0,1.0,49.0,Residencial Jequitiba,280000.0
205811.0,Apartamento de 41m² com 02 quartos à venda   Reserva Real,2.0,1.0,1.0,41.0,Reserva Real,185000.0
244505.0,Apartamento de 86m² com 03 quartos para venda 02 vagas   Jardim Botânico,3.0,3.0,2.0,86.0,Condominio Itamaraty,500000.0
207155.0,"Apartamento de 122m² com 3 quartos, sendo 1 suíte   Centro",3.0,3.0,2.0,122.0,Centro,630000.0
216353.0,Apartamento de 66m² com 02 quartos á venda   Parque Anhanguera,2.0,2.0,1.0,66.0,Parque Anhanguera,222000.0
88415.0,Apartamento de 97m² com 03 quartos para locação   Centro,3.0,2.0,1.0,97.0,Centro,330000.0
122168.0,APARTAMENTO PRÓXIMO À RUA GENERAL CÂMARA,2.0,2.0,1.0,75.0,Ipiranga,235000.0
115061.0,Apartamento de 42m² com 02 quartos para venda   Jardim Zara,2.0,1.0,1.0,42.0,Jardim Zara,140000.0
